Time	I.max_1	I.total_1	I.back_1
14.638	83.92157	50.15599	38.03221
14.676	83.92157	50.6109	38.13025
14.714	83.92157	51.04314	38.35434
14.753	83.92157	50.84619	38.60644
14.794	83.92157	51.24357	38.82353
14.837	83.92157	50.69978	38.59944
14.875	83.92157	50.15425	38.36835
14.913	83.92157	49.20784	37.79412
14.951	77.25491	48.23355	37.45098
14.989	77.25491	47.51721	36.41457
15.028	77.25491	46.51155	35.5042
15.066	70.98039	45.65229	35.16106
15.105	70.98039	44.99521	34.58683
15.144	70.98039	44.42353	34.48179
15.182	70.98039	44.19869	33.90756
15.22	70.98039	43.88148	33.46639
15.26	70.98039	44.22658	33.57143
15.3	70.98039	44.28235	33.90756
15.338	70.98039	44.62571	34.70588
15.377	77.25491	44.79651	33.90756
15.417	77.25491	45.42222	34.48179
15.455	77.25491	45.42222	34.48179
15.494	77.25491	45.7098	34.59384
15.533	77.25491	46.16645	34.69888
15.571	77.25491	46.7451	35.51821
15.61	77.25491	47.30806	36.07143
15.649	77.25491	47.74379	36.54062
15.687	83.92157	47.91634	36.42857
15.727	83.92157	48.31721	36.65266
15.766	83.92157	48.74597	36.9958
15.806	83.92157	49.14858	36.64566
15.844	83.92157	49.49194	37.45098
15.883	83.92157	50.03748	37.78711
15.921	83.92157	50.29368	37.90616
15.96	83.92157	50.86885	38.71849
15.999	83.92157	50.55163	38.01821
16.038	83.92157	50.52201	38.13726
16.076	83.92157	50.15425	38.13726
16.115	83.92157	49.63312	37.56303
16.153	83.92157	48.92375	37.45798
16.191	77.25491	47.94249	36.41457
16.23	77.25491	46.94553	35.73529
16.269	77.25491	46.93856	36.06443
16.309	77.25491	45.96776	35.27311
16.349	77.25491	45.62091	35.04902
16.388	70.98039	45.1695	34.71289
16.426	70.98039	44.40261	33.57143
16.465	70.98039	44.82614	34.36975
16.51	70.98039	44.65185	33.90056
16.548	77.25491	45.2305	34.59384
16.587	77.25491	45.30196	34.47479
16.625	77.25491	45.14161	33.79552
16.664	77.25491	45.99913	34.70588
16.703	77.25491	46.54118	35.39216
16.741	77.25491	46.51155	34.92997
16.779	77.25491	47.19128	35.94538
16.82	77.25491	47.08671	35.39916
16.858	77.25491	47.56776	36.54062
16.896	77.25491	48.05577	36.30252
16.935	77.25491	48.05577	36.30252
16.975	83.92157	48.46013	36.31652
17.014	83.92157	48.74249	37.10084
17.052	83.92157	48.91852	36.9958
17.091	83.92157	49.66449	37.78711
17.13	83.92157	49.95033	37.90616
17.169	83.92157	50.14902	37.78711
17.207	83.92157	50.1525	37.90616
17.246	83.92157	50.01133	38.13726
17.286	83.92157	49.9207	37.45098
17.327	83.92157	49.71329	37.89916
17.365	83.92157	49.25665	37.78711
17.404	77.25491	48.31198	36.87675
17.443	77.25491	47.53813	36.63866
17.481	77.25491	45.85447	34.70588
17.524	70.98039	43.56427	32.64006
17.563	70.98039	42.5342	32.39496
17.602	70.98039	41.75163	31.57563
17.641	70.98039	41.12418	31.46358
17.68	64.70588	41.69935	31.94678
17.718	70.98039	41.78649	32.05182
17.757	70.98039	41.79172	32.17087
17.796	70.98039	41.72898	31.81373
17.836	70.98039	41.61394	31.70168
17.873	70.98039	41.73072	31.70168
17.913	70.98039	41.98519	31.93277
17.952	70.98039	42.1037	32.16387
17.99	70.98039	42.18388	31.69468
18.028	70.98039	41.84401	31.70868
18.067	70.98039	42.10545	32.04482
18.105	70.98039	42.29891	32.04482
18.144	70.98039	42.41046	31.92577
18.182	70.98039	42.30239	31.80672
18.22	70.98039	42.09673	31.91877
18.26	70.98039	42.43835	31.81373
18.3	70.98039	42.44009	32.04482
18.339	70.98039	42.64575	32.17087
18.378	70.98039	42.56035	31.91877
18.417	70.98039	41.99041	31.36555
18.455	70.98039	42.41917	31.48459
18.495	70.98039	42.41917	31.48459
18.533	70.98039	42.50457	31.82073
18.573	70.98039	42.92985	32.61905
18.612	70.98039	42.69978	32.04482
18.65	70.98039	42.33551	32.05182
18.689	70.98039	42.56384	31.93978
18.728	70.98039	42.4488	31.82073
18.766	70.98039	42.90719	32.52101
18.805	70.98039	42.82004	32.28291
18.845	70.98039	42.29891	31.79972
18.885	70.98039	42.38954	31.59664
18.923	70.98039	42.44357	31.58263
18.962	70.98039	42.70327	32.28291
19.001	70.98039	42.56209	31.70168
19.039	70.98039	42.10545	31.35154
19.077	70.98039	42.4732	31.58964
19.116	70.98039	42.5342	31.80672
19.154	70.98039	42.64227	31.93277
19.193	70.98039	42.59346	31.82773
19.232	70.98039	41.99041	31.35854
19.27	70.98039	42.50632	31.58964
19.309	70.98039	42.5342	31.81373
19.35	70.98039	42.76078	32.16387
19.388	70.98039	42.38605	31.11345
19.427	70.98039	42.42266	31.93277
19.466	70.98039	42.46798	31.80672
19.505	70.98039	42.39128	31.23249
19.543	70.98039	42.87407	32.05182
19.582	70.98039	42.76078	31.82773
19.62	70.98039	42.41569	31.47059
19.658	70.98039	42.44357	31.82073
19.697	70.98039	42.67364	31.82073
19.736	70.98039	42.58823	31.34454
19.774	70.98039	42.58823	31.34454
19.814	70.98039	42.67364	31.70168
19.858	70.98039	42.45229	31.70168
19.896	70.98039	42.56906	31.93978
19.935	70.98039	42.56906	31.93978
19.974	70.98039	42.53246	31.58263
20.012	70.98039	42.47495	31.47059
20.051	70.98039	42.57952	31.57563
20.09	70.98039	42.15425	30.88235
20.129	70.98039	42.33725	31.4916
20.168	70.98039	42.6475	31.82073
20.207	70.98039	42.21525	31.13445
20.245	70.98039	42.30414	31.58964
20.284	70.98039	42.62309	32.16387
20.324	70.98039	42.30414	31.11345
20.362	70.98039	42.58823	32.16387
20.402	70.98039	42.47146	31.68768
